feature,mean_abs_shap
EXT_SOURCE_2,0.37003908
EXT_SOURCE_3,0.29822955
EXT_SOURCE_1,0.13552059
DAYS_EMPLOYED,0.10363687
DAYS_BIRTH,0.096683055
NAME_EDUCATION_TYPE,0.08580816
CODE_GENDER,0.07553505
DAYS_LAST_PHONE_CHANGE,0.0738485
AMT_ANNUITY,0.061641432
NAME_INCOME_TYPE,0.046250556
NAME_CONTRACT_TYPE,0.04570141
OWN_CAR_AGE,0.044442583
WEEKDAY_APPR_PROCESS_START,0.039953887
AMT_GOODS_PRICE,0.037094187
AMT_REQ_CREDIT_BUREAU_QRT,0.035272643
AMT_CREDIT,0.02809824
FLAG_OWN_CAR,0.022120532
AMT_INCOME_TOTAL,0.020462243
DAYS_REGISTRATION,0.020457406
DAYS_ID_PUBLISH,0.019546187
BASEMENTAREA_AVG,0.019079339
AMT_REQ_CREDIT_BUREAU_YEAR,0.018670136
NAME_TYPE_SUITE,0.018127928
DEF_30_CNT_SOCIAL_CIRCLE,0.016250417
REGION_POPULATION_RELATIVE,0.015363008
FLAG_PHONE,0.014219903
HOUR_APPR_PROCESS_START,0.013902667
NAME_FAMILY_STATUS,0.013014789
OBS_60_CNT_SOCIAL_CIRCLE,0.01271028
REG_CITY_NOT_WORK_CITY,0.010239522
OCCUPATION_TYPE,0.010226676
FLAG_DOCUMENT_3,0.009582914
LIVINGAREA_MODE,0.009088501
YEARS_BEGINEXPLUATATION_MEDI,0.008553249
ORGANIZATION_TYPE,0.0077953567
COMMONAREA_MODE,0.0073624854
BASEMENTAREA_MEDI,0.0071831364
REGION_RATING_CLIENT,0.006980499
LIVINGAREA_AVG,0.0067835604
YEARS_BEGINEXPLUATATION_AVG,0.006747631
TOTALAREA_MODE,0.0064427014
COMMONAREA_MEDI,0.0062198513
REGION_RATING_CLIENT_W_CITY,0.006091151
LIVINGAREA_MEDI,0.0060544554
FONDKAPREMONT_MODE,0.0055620633
DEF_60_CNT_SOCIAL_CIRCLE,0.0052971537
CNT_FAM_MEMBERS,0.0049416535
NONLIVINGAREA_MEDI,0.004884382
LANDAREA_MEDI,0.0048336745
NONLIVINGAREA_AVG,0.004733527
FLAG_WORK_PHONE,0.004455876
YEARS_BEGINEXPLUATATION_MODE,0.0042484296
NAME_HOUSING_TYPE,0.004197713
YEARS_BUILD_MEDI,0.0039607147
LIVINGAPARTMENTS_MODE,0.0038402448
BASEMENTAREA_MODE,0.0038239248
REG_CITY_NOT_LIVE_CITY,0.0037600307
FLAG_OWN_REALTY,0.003687238
APARTMENTS_MODE,0.0035342874
COMMONAREA_AVG,0.0035342185
FLOORSMAX_MEDI,0.0034449187
OBS_30_CNT_SOCIAL_CIRCLE,0.0034387321
ENTRANCES_AVG,0.003309658
FLAG_EMP_PHONE,0.0029163011
LANDAREA_AVG,0.0027134237
ENTRANCES_MEDI,0.002539317
APARTMENTS_MEDI,0.0024518832
LANDAREA_MODE,0.0023106234
NONLIVINGAREA_MODE,0.002251039
YEARS_BUILD_AVG,0.0022406296
LIVINGAPARTMENTS_AVG,0.0022163384
APARTMENTS_AVG,0.0021343653
YEARS_BUILD_MODE,0.0021294327
ELEVATORS_MODE,0.002026648
CNT_CHILDREN,0.0017864183
LIVINGAPARTMENTS_MEDI,0.001759138
AMT_REQ_CREDIT_BUREAU_MON,0.0017322612
NONLIVINGAPARTMENTS_AVG,0.0016502104
FLOORSMAX_MODE,0.0016344177
ELEVATORS_MEDI,0.0014076976
FLOORSMIN_MEDI,0.0013629568
FLAG_EMAIL,0.0012828344
FLOORSMAX_AVG,0.001175129
FLOORSMIN_MODE,0.0011368273
FLOORSMIN_AVG,0.001033408
LIVE_REGION_NOT_WORK_REGION,0.0009671663
WALLSMATERIAL_MODE,0.0008719398
ENTRANCES_MODE,0.0004727871
NONLIVINGAPARTMENTS_MODE,0.00043414664
FLAG_DOCUMENT_5,0.00041725417
LIVE_CITY_NOT_WORK_CITY,0.00039163668
NONLIVINGAPARTMENTS_MEDI,0.00037260453
FLAG_DOCUMENT_8,0.00033389355
HOUSETYPE_MODE,0.00029858912
ELEVATORS_AVG,0.00025834696
REG_REGION_NOT_WORK_REGION,0.0
FLAG_CONT_MOBILE,0.0
FLAG_MOBIL,0.0
REG_REGION_NOT_LIVE_REGION,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_10,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_18,0.0
EMERGENCYSTATE_MODE,0.0
